name,start,end,sphere,link
"First Fiji Expedition","01/01/1855","12/31/1855","Oceania","https://en.wikipedia.org/wiki/First_Fiji_Expedition"
"Rogue River Wars","01/01/1855","12/31/1856","North America","https://en.wikipedia.org/wiki/Rogue_River_Wars"
"Third Seminole War","01/01/1855","12/31/1858","North America","https://en.wikipedia.org/wiki/Seminole_Wars#Third_Seminole_War"
"Yakima War","01/01/1855","12/31/1858","North America","https://en.wikipedia.org/wiki/Yakima_War"
"Filibuster War","01/01/1856","12/31/1857","Latin America","https://en.wikipedia.org/wiki/Filibuster_War"
"Second Opium War","01/01/1856","12/31/1859","Far East Asia","https://en.wikipedia.org/wiki/Second_Opium_War"
"Utah War","01/01/1857","12/31/1858","North America","https://en.wikipedia.org/wiki/Utah_War"
"Navajo Wars","01/01/1858","12/31/1866","North America","https://en.wikipedia.org/wiki/Navajo_Wars"
"Second Fiji Expedition","01/01/1858","12/31/1858","Oceania","https://en.wikipedia.org/wiki/Second_Fiji_Expedition"
"First and Second Cortina War","01/01/1859","12/31/1861","Latin America","https://en.wikipedia.org/wiki/Cortina_Troubles"
"Paiute War","01/01/1860","12/31/1860","North America","https://en.wikipedia.org/wiki/Paiute_War"
"Reform War","01/01/1860","12/31/1860","Latin America","https://en.wikipedia.org/wiki/Reform_War"
"American Civil War","01/01/1861","12/31/1865","North America","https://en.wikipedia.org/wiki/American_Civil_War"
"Bombardment of Qui Nhơn","01/01/1861","12/31/1861","Southeast Asia","https://en.wikipedia.org/wiki/Bombardment_of_Qui_Nh%C6%A1n"
"Yavapai Wars","01/01/1861","12/31/1875","North America","https://en.wikipedia.org/wiki/Yavapai_Wars"
"Dakota War of 1862","01/01/1862","12/31/1862","North America","https://en.wikipedia.org/wiki/Dakota_War_of_1862"
"Colorado War","01/01/1863","12/31/1865","North America","https://en.wikipedia.org/wiki/Colorado_War"
"Shimonoseki War","01/01/1863","12/31/1864","Southeast Asia","https://en.wikipedia.org/wiki/Shimonoseki_Campaign"
"Snake War","01/01/1864","12/31/1868","North America","https://en.wikipedia.org/wiki/Snake_War"
"Powder River War","01/01/1865","12/31/1865","North America","https://en.wikipedia.org/wiki/Powder_River_Expedition_(1865)"
"Red Cloud's War","01/01/1866","12/31/1868","North America","https://en.wikipedia.org/wiki/Red_Cloud%27s_War"
"Siege of Mexico City","01/01/1867","12/31/1867","Latin America","https://en.wikipedia.org/wiki/Siege_of_Mexico_City"
"Formosa Expedition","01/01/1867","12/31/1867","Southeast Asia","https://en.wikipedia.org/wiki/Formosa_Expedition"
"Comanche Campaign","01/01/1867","12/31/1875","North America","https://en.wikipedia.org/wiki/Comanche_Campaign"
"United States expedition to Korea","01/01/1871","12/31/1871","Southeast Asia","https://en.wikipedia.org/wiki/United_States_expedition_to_Korea"
"Modoc War","01/01/1872","12/31/1873","North America","https://en.wikipedia.org/wiki/Modoc_War"
"Red River War","01/01/1874","12/31/1875","North America","https://en.wikipedia.org/wiki/Red_River_War"
"Las Cuevas War","01/01/1875","12/31/1875","Latin America","https://en.wikipedia.org/wiki/Las_Cuevas_War"
"Great Sioux War of 1876","01/01/1876","12/31/1877","North America","https://en.wikipedia.org/wiki/Great_Sioux_War_of_1876"
"Buffalo Hunters' War","01/01/1876","12/31/1877","North America","https://en.wikipedia.org/wiki/Buffalo_Hunters%27_War"
"Nez Perce War","01/01/1877","12/31/1877","North America","https://en.wikipedia.org/wiki/Nez_Perce_War"
"San Elizario Salt War","01/01/1877","12/31/1878","North America","https://en.wikipedia.org/wiki/San_Elizario_Salt_War"
"Bannock War","01/01/1878","12/31/1878","North America","https://en.wikipedia.org/wiki/Bannock_War"
"Cheyenne War","01/01/1878","12/31/1879","North America","https://en.wikipedia.org/wiki/Cheyenne_War"
"Sheepeater Indian War","01/01/1879","12/31/1879","North America","https://en.wikipedia.org/wiki/Sheepeater_Indian_War"
"Victorio's War","01/01/1879","12/31/1881","Latin America","https://en.wikipedia.org/wiki/Victorio%27s_War"
"White River War","01/01/1879","12/31/1880","North America","https://en.wikipedia.org/wiki/White_River_War"
"Egyptian Expedition","01/01/1882","12/31/1882","Middle East","https://en.wikipedia.org/wiki/Egyptian_Expedition_(1882)"
"Pine Ridge Campaign","01/01/1890","12/31/1891","North America","https://en.wikipedia.org/wiki/Pine_Ridge_Campaign"
"Garza Revolution","01/01/1891","12/31/1893","Latin America","https://en.wikipedia.org/wiki/Garza_Revolution"
"Overthrow of the Kingdom of Hawaii","01/01/1893","12/31/1893","Oceania","https://en.wikipedia.org/wiki/Overthrow_of_the_Kingdom_of_Hawaii"
"Brazilian Naval Revolt","01/01/1893","12/31/1894","Latin America","https://en.wikipedia.org/wiki/Revolta_da_Armada"
"Yaqui Wars","01/01/1896","12/31/1918","Latin America","https://en.wikipedia.org/wiki/Yaqui_Wars"
"Second Samoan Civil War","01/01/1898","12/31/1899","Oceania","https://en.wikipedia.org/wiki/Second_Samoan_Civil_War"
"Spanish–American War","01/01/1898","12/31/1898","North America","https://en.wikipedia.org/wiki/Spanish%E2%80%93American_War"
"Philippine–American War","01/01/1899","12/31/1902","Southeast Asia","https://en.wikipedia.org/wiki/Philippine%E2%80%93American_War"
"Moro Rebellion","01/01/1899","12/31/1913","Southeast Asia","https://en.wikipedia.org/wiki/Moro_Rebellion"
"Boxer Rebellion","01/01/1899","12/31/1901","Far East Asia","https://en.wikipedia.org/wiki/Boxer_Rebellion"
"Crazy Snake Rebellion","01/01/1909","12/31/1909","North America","https://en.wikipedia.org/wiki/Crazy_Snake_Rebellion"
"Border War","01/01/1910","12/31/1919","Latin America","https://en.wikipedia.org/wiki/Border_War_(1910%E2%80%9319)"
"Negro Rebellion","01/01/1912","12/31/1912","Latin America","https://en.wikipedia.org/wiki/Negro_Rebellion"
"Occupation of Nicaragua","01/01/1912","12/31/1933","Latin America","https://en.wikipedia.org/wiki/United_States_occupation_of_Nicaragua"
"Bluff War","01/01/1914","12/31/1915","North America","https://en.wikipedia.org/wiki/Bluff_War"
"Occupation of Haiti","01/01/1915","12/31/1934","Latin America","https://en.wikipedia.org/wiki/American_occupation_of_Haiti"
"Sugar Intervention","01/01/1916","12/31/1918","Latin America","https://en.wikipedia.org/wiki/Sugar_Intervention"
"Occupation of the Dominican Republic","01/01/1916","12/31/1924","Latin America","https://en.wikipedia.org/wiki/American_occupation_of_the_Dominican_Republic_(1916%E2%80%9324)"
"World War I","01/01/1917","12/31/1918","Europe","https://en.wikipedia.org/wiki/World_War_I"
"Russian Civil War","01/01/1918","12/31/1920","Europe","https://en.wikipedia.org/wiki/Allied_intervention_in_the_Russian_Civil_War"
"Bombardment of Samsun","01/01/1922","12/31/1922","Middle East","https://en.wikipedia.org/wiki/Bombardment_of_Samsun"
"Posey War","01/01/1923","12/31/1923","North America","https://en.wikipedia.org/wiki/Posey_War"
"World War II","01/01/1941","12/31/1945","Europe","https://en.wikipedia.org/wiki/World_War_II"
"Pacific War","01/01/1941","12/31/1945","Southeast Asia","https://en.wikipedia.org/wiki/Pacific_War"
"Korean War","01/01/1950","12/31/1953","Southeast Asia","https://en.wikipedia.org/wiki/Korean_War"
"Intervention in Lebanon","01/01/1958","12/31/1958","Middle East","https://en.wikipedia.org/wiki/1958_Lebanon_crisis"
"Bay of Pigs Invasion","01/01/1961","12/31/1961","Latin America","https://en.wikipedia.org/wiki/Bay_of_Pigs_Invasion"
"Dominican Civil War","01/01/1965","12/31/1966","Latin America","https://en.wikipedia.org/wiki/United_States_occupation_of_the_Dominican_Republic_(1965%E2%80%931966)"
"Vietnam War","01/01/1965","12/31/1973","Southeast Asia","https://en.wikipedia.org/wiki/Vietnam_War"
"Shaba II","01/01/1978","12/31/1978","Africa","https://en.wikipedia.org/wiki/Shaba_II"
"Multinational Force in Lebanon","01/01/1982","12/31/1984","Middle East","https://en.wikipedia.org/wiki/Multinational_Force_in_Lebanon"
"Invasion of Grenada","01/01/1983","12/31/1983","Latin America","https://en.wikipedia.org/wiki/Invasion_of_Grenada"
"Tanker War","01/01/1987","12/31/1988","Middle East","https://en.wikipedia.org/wiki/Iran%E2%80%93Iraq_War#Persian_Gulf_Tanker_War"
"Invasion of Panama","01/01/1989","12/31/1990","Latin America","https://en.wikipedia.org/wiki/United_States_invasion_of_Panama"
"Gulf War","01/01/1990","12/31/1991","Middle East","https://en.wikipedia.org/wiki/Gulf_War"
"Iraqi No/Fly Zones","01/01/1991","12/31/2003","Middle East","https://en.wikipedia.org/wiki/Iraqi_no-fly_zones"
"Somali Civil War","01/01/1992","12/31/1995","Africa","https://en.wikipedia.org/wiki/Somali_Civil_War"
"Intervention in Haiti","01/01/1994","12/31/1995","Latin America","https://en.wikipedia.org/wiki/Operation_Uphold_Democracy"
"Bosnian War","01/01/1994","12/31/1995","Middle East","https://en.wikipedia.org/wiki/Bosnian_War"
"Kosovo War","01/01/1998","12/31/1999","Middle East","https://en.wikipedia.org/wiki/Kosovo_War"
"War in Afghanistan","01/01/2001","12/31/2015","Middle East","https://en.wikipedia.org/wiki/War_in_Afghanistan_(2001%E2%80%9314)"
"Iraq War","01/01/2003","12/31/2011","Middle East","https://en.wikipedia.org/wiki/Iraq_War"
"War in Pakistan","01/01/2004","12/31/2015","Middle East","https://en.wikipedia.org/wiki/War_in_North-West_Pakistan"
"Operation Ocean Shield","01/01/2009","12/31/2015","Africa","https://en.wikipedia.org/wiki/Operation_Ocean_Shield"
"Libyan Civil War","01/01/2011","12/31/2011","Middle East","https://en.wikipedia.org/wiki/2011_military_intervention_in_Libya"
"War on ISIL","01/01/2014","12/31/2015","Middle East","https://en.wikipedia.org/wiki/Military_intervention_against_ISIL"
"Covert Operation: Syria","01/01/1949,"12/31/1949","Middle East","https://en.wikipedia.org/wiki/March_1949_Syrian_coup_d%27%C3%A9tat"
"Covert Operation: Iran","01/01/1953","12/31/1953","Middle East","https://en.wikipedia.org/wiki/1953_Iranian_coup_d%27%C3%A9tat"
"Covert Operation: Guatemala","01/01/1954","12/31/1954","Latin America","https://en.wikipedia.org/wiki/1954_Guatemalan_coup_d%27%C3%A9tat"
"Covert Operation: Tibet","01/01/1955","12/31/1970","Southeast Asia","https://en.wikipedia.org/wiki/CIA_Tibetan_program"
"Covert Operation: Indonesia","01/01/1958","12/31/1958","Southeast Asia","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Indonesia_1958"
"Covert Operation: Cuba","01/01/1959","12/31/1959","Latin America","https://en.wikipedia.org/wiki/Cuba%E2%80%93United_States_relations"
"Covert Operation: Iraq","01/01/1960","12/31/1963","Middle East","https://en.wikipedia.org/wiki/Human_rights_violations_by_the_CIA#Qasim"
"Covert Operation: Democratic Republic of Congo","01/01/1960","12/31/1965","Africa","https://en.wikipedia.org/wiki/Congo_Crisis"
"Covert Operation: Dominican Republic","01/01/1961","12/31/1961","Latin America","https://en.wikipedia.org/wiki/Human_rights_violations_by_the_CIA#Trujillo"
"Covert Operation: South Vietnam","01/01/1963","12/31/1963","Southeast Asia","https://en.wikipedia.org/wiki/1963_South_Vietnamese_coup"
"Covert Operation: Brazil","01/01/1964","12/31/1964","Latin America","https://en.wikipedia.org/wiki/1964_Brazilian_coup_d%27%C3%A9tat"
"Covert Operation: Chile","01/01/1970","12/31/1973","Latin America","https://en.wikipedia.org/wiki/1973_Chilean_coup_d%27%C3%A9tat"
"Covert Operation: Afghanistan","01/01/1979","12/31/1989","Middle East","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Afghanistan_1979.E2.80.9389"
"Covert Operation: Turkey","01/01/1980","12/31/1980","Middle East","https://en.wikipedia.org/wiki/1980_Turkish_coup_d%27%C3%A9tat"
"Covert Operation: Poland","01/01/1980","12/31/1989","Europe","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Poland_1980.E2.80.9389"
"Covert Operation: Nicaragua","01/01/1981","12/31/1990","Latin America","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Nicaragua_1981.E2.80.9390"
"Covert Operation: Iraq","01/01/1992","12/31/1996","Middle East","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Iraq_1992.E2.80.9396"
"Covert Operation: Venezuela","01/01/2002","12/31/2002","Latin America","https://en.wikipedia.org/wiki/2002_Venezuelan_coup_d%27%C3%A9tat_attempt"
"Covert Operation: Iran","01/01/2005","12/31/2015","Middle East","https://en.wikipedia.org/wiki/Covert_United_States_foreign_regime_change_actions#Iran_2005.E2.80.93present"
